Candidate,Party,State,District,Incumbent,Winner,Percentage of Vote,Raised,Spent,Funds Remaining
Buzz Patterson,(R),California,District 07 ,False,False,43.4,43876,29614,3532
Jay Obernolte,(R),California,District 08 ,False,True,56.1,1861647,1792064,69583
Chris Bubser,(D),California,District 08 ,False,False,43.9,1858001,1856613,1388
Jerry McNerney,(D),California,District 09 ,True,True,57.6,1177959,1112543,234173
Tony Amador,(R),California,District 09 ,False,False,42.4,52175,52175,0
Josh Harder,(D),California,District 10 ,True,True,55.2,7400135,3950613,3469763
Ted Howze,(R),California,District 10 ,False,False,44.8,1426552,1721882,14241
Mark Desaulnier,(D),California,District 11 ,True,True,73.0,610394,440537,481388
Nisha Sharma,(R),California,District 11 ,False,False,27.0,174954,171870,3085
Nancy Pelosi,(D),California,District 12 ,True,True,77.6,27359508,22064953,6299373
Shahid Buttar,(D),California,District 12 ,False,False,22.4,1672876,1650467,22417
Barbara Lee,(D),California,District 13 ,True,True,90.4,1828213,1750142,210374
Nikka Piterman,(R),California,District 13 ,False,False,9.6,9839,9904,1293
Jackie Speier,(D),California,District 14 ,True,True,79.3,942934,919599,1779772
Eric Swalwell,(D),California,District 15 ,True,True,70.9,2807774,3977839,502929
Jim Costa,(D),California,District 16 ,True,True,59.3,2135525,1835244,410171
Kevin Cookingham,(R),California,District 16 ,False,False,40.7,265364,265364,0
Ro Khanna,(D),California,District 17 ,True,True,71.3,3837982,2455457,2261128
Ritesh Tandon,(R),California,District 17 ,False,False,28.7,175536,175015,522
Anna Eshoo,(D),California,District 18 ,True,True,63.2,2114909,2059158,552799
Rishi Kumar,(D),California,District 18 ,False,False,36.8,674383,691938,-17555
Zoe Lofgren,(D),California,District 19 ,True,True,71.7,1755555,1731700,1160537
Justin Aguilera,(R),California,District 19 ,False,False,28.3,9112,11542,1441
Jimmy Panetta,(D),California,District 20 ,True,True,76.8,2009894,1592671,1175357
Jeff Gorman,(R),California,District 20 ,False,False,23.2,67634,64947,2687
TJ Cox,(D),California,District 21 ,True,False,49.6,5695157,5694005,55943
David Valadao,(R),California,District 21 ,False,True,50.4,4067880,3982587,164211
Devin Nunes,(R),California,District 22 ,True,True,54.2,26825212,20156093,10908033
Phil Arballo,(D),California,District 22 ,False,False,45.8,5091451,5062185,29266
Kevin McCarthy,(R),California,District 23 ,True,True,62.1,27780644,24265583,4802133
Kim Mangone,(D),California,District 23 ,False,False,37.9,1671101,1665373,5728
Salud Carbajal,(D),California,District 24 ,True,True,58.7,2117836,1451622,1400705
Andy Caldwell,(R),California,District 24 ,False,False,41.3,1298798,1268199,34587
Julia Brownley,(D),California,District 26 ,True,True,60.6,1976695,1314677,3113430
Ronda Kennedy,(R),California,District 26 ,False,False,39.4,246226,67208,177973
Judy Chu,(D),California,District 27 ,True,True,69.8,1213706,956298,2781770
Johnny Nalbandian,(R),California,District 27 ,False,False,30.2,39584,39159,462
Adam Schiff,(D),California,District 28 ,True,True,72.7,19382855,10188664,13908271
Eric Early,(R),California,District 28 ,False,False,27.3,4085322,3790027,295295
Tony Cardenas,(D),California,District 29 ,True,True,56.6,1419697,1213588,529789
Angelica Duenas,(3),California,District 29 ,False,False,43.4,78083,76627,1456
Brad Sherman,(D),California,District 30 ,True,True,69.5,1513374,1111826,2624621
Pete Aguilar,(D),California,District 31 ,True,True,61.3,2475748,1861434,1839594
Agnes Gibboney,(R),California,District 31 ,False,False,38.7,138687,127907,10780
Grace Napolitano,(D),California,District 32 ,True,True,66.6,478426,251047,533330
